Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,ANT_MAX_FOLD_NAMES_SAN,ANT_MAX_FOLD_NAMES_LOEWE,ANT_MAX_FOLD_NAMES_BLISS,ANT_MAX_FOLD_NAMES_HSA,QA
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,3methyladenine,lumefantrine,0.025,0.5,0.00442694801021138,4.35911855313074,2.96338446212814,0.5,10,75.6336323318231,0,-16.5573645462017,-16.5573498329695,-16.5573498329695,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,3methyladenine,lumefantrine,0.05,1,0.0147217212885877,2.95489307857343,0.330833580372175,1,0,100,0,-22.2333699001152,-22.2333699001152,-22.2333699001152,1
3methyladenine_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,3methyladenine,lumefantrine,0.05,1,0.00873902661197498,3.82799995915782,7.86815112115494,1,0,100,0,-65.70079,-65.70079,-65.70079,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0187303002599478,9.99999999999989,50.3170481270823,0.179953243897603,10,15.7825654262878,0,-81366.5273813156,-81366.5273813156,-81366.5273813156,-1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0337150809577749,5.86698796109093,0,0.140657068715643,4.06569589660719,1.85428819299474,0,-10.7050071938711,-10.6794857218032,-10.6794856962772,1
alvespimycinhydrochloride_artemether_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artemether,0.05,0.75,0.0189677499854339,4.2536560579891,27.8436503418189,0.263420133119119,2.91942367693716,0,0,-201.784984716968,-216.276197468783,-201.784984716968,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00258905215068505,3.12413481082045,23.8680683240436,0.105540924383617,9.99999999999883,53.5614575343821,0,-79210.3585424656,-79211.3016130635,-79210.358397664,-1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00251054439330273,4.23417709530091,0.809888208858683,0.137170813507816,3.86929639485432,2.04929917393264,0,-23.25067938876,-18.1396359318287,-18.1375538604787,1
alvespimycinhydrochloride_artenimol_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artenimol,0.025,0.75,0.00253001232412501,2.82462468250901,1.36579683411297,0.291483180359768,2.84332493877359,4.99532158735779,0,-68.8660835824648,-68.8660835824648,-68.8660835824648,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00960795347017824,9.99999999999998,58.5837394509502,0.0590890176773283,4.48744722247699,28.226457049843,0,-120386.540100299,-120386.540100299,-120386.540100299,-1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.0141619710963036,6.68933164618026,2.14567584080081,0.157204472575294,5.08005000940966,3.11548979775896,0,-59.9562073790357,-17.7985694630776,-17.6529705026289,1
alvespimycinhydrochloride_artesunate_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,artesunate,0.05,0.75,0.00813347947250265,3.35072762583681,8.28936382269894,0.268579421001418,3.9152592151467,0,0,-61.9616631809613,-33.9613593746858,-32.7928758317551,-1
alvespimycinhydrochloride_halofantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,halofantrine,0.025,0.375,0.000848330855501279,2.73661858266519,0,0.0651501114554833,3.93537727600283,3.78103978873834,0,-22.8396118524309,-7.30304220431213,-7.30304220431213,1
alvespimycinhydrochloride_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,halofantrine,0.025,0.375,0.00151857104409178,9.99999999999999,0.152403285018765,0.0367367435237432,4.28874505105094,0.726557554468132,0,-47.0333231980603,-19.3921946055556,-19.3921946054343,-3
