Parameters,cinacalcethydrochloride,chloroquine
EC50,0.0282568248192752,7.82746660752802
H,10,3.6268467319973
Ucinf,7.47371486741136,0
chi2,347.225662901947,1200.66937854459
good_of_fit,0,0
