Parameters,propafenonehydrochloride,halofantrine
EC50,0.00131803208451518,1.10224760226892
H,4.28962638389141,3.4431082499984
Ucinf,0.138602630987006,0
chi2,242.193573379951,376.265741938745
good_of_fit,0,0
