Parameters,piperaquine,artemether
EC50,0.0499999999999118,0.747777896423895
H,9.99999999999895,9.9999999999997
Ucinf,32.5190179205534,0
chi2,36714.8723415407,35486.3597095305
good_of_fit,0,0
