Parameters,quisinostathydrochloride,methyleneblue
EC50,0.0135443070071071,0.00665316158808291
H,10,9.99999999999982
Ucinf,52.5407011757253,17.3973875570992
chi2,85332.827974816,52890.4143922639
good_of_fit,0,0
