Parameters,nvpauy922,artenimol
EC50,0.00172929474904607,0.073985749027302
H,9.99999999999999,9.99999976425462
Ucinf,24.6845055952477,78.565648685542
chi2,1788.87306952397,73666.2225544224
good_of_fit,0,0
