Parameters,panobinostatlbh589,amodiaquine
EC50,0.0655379531231966,0.0936509813215666
H,9.99999999999978,9.99999999999986
Ucinf,3.20618532594275,78.1781910717425
chi2,22647.7782900399,42331.9082758135
good_of_fit,0,0
