Parameters,ml238,nitd609
EC50,0.00237633897811691,0.00513865098636705
H,9.99999999999994,2.21486874547445
Ucinf,46.7137600698839,20.9219974223688
chi2,17487.3597959692,2483.16159133468
good_of_fit,0,0
