Parameters,pkc412,lumefantrine
EC50,0.047430951772338,2.49999999999996
H,9.99999999999991,9.99999999999919
Ucinf,0,85.7413869022708
chi2,27053.0897679408,19704.7290993942
good_of_fit,0,0
