Parameters,proguanil,atovaquone
EC50,0.00155894000845727,0.11221354021769
H,3.54398952827218,6.66816673180944
Ucinf,17.6544324240333,0
chi2,9646.19618868856,4731.70580709879
good_of_fit,0,0
