Parameters,methyleneblue,halofantrine
EC50,0.000386445773778987,0.00674926755119152
H,2.34898517468676,2.60623656823469
Ucinf,0.640337764374699,0
chi2,38.6850850831039,1437.85678141383
good_of_fit,0,0
