Parameters,mefloquine,artesunate
EC50,0.011151984971342,0.0327653260055162
H,9.99999999999995,10
Ucinf,12.9823662303092,22.2710275826877
chi2,3216.56551449798,2526.99779905341
good_of_fit,0,0
