Parameters,methyleneblue,lumefantrine
EC50,0.00261738263077081,0.00445904229063139
H,2.85148755843784,3.61457760092213
Ucinf,0.237140086517978,0
chi2,22.6158384886736,642.737119966975
good_of_fit,0,0
