Parameters,gramicidin,atovaquone
EC50,0.00160108660919458,4.10256845802045e-05
H,1.3136786461626,1.09931655710063
Ucinf,2.7262558790024,0
chi2,432.935039166192,2700.77125765062
good_of_fit,0,0
