Parameters,nvpbgt226,atovaquone
EC50,0.00396780001940273,0.00269359330430471
H,1.60714739728064,3.92710835130409
Ucinf,1.49277719218063,8.71627108459535
chi2,94.78945806221,37.2024830646844
good_of_fit,0,0
