Parameters,ml238,nvpbgt226
EC50,0.00208832501921193,0.0148602720988315
H,9.80756948608582,2.49282160347891
Ucinf,9.71458620902659,6.91364658600611
chi2,192.542451076803,225.611619691948
good_of_fit,0,0
