Parameters,carfilzomib,artenimol
EC50,0.00568779708019365,0.00144270443876925
H,5.85710200652996,2.60118340963449
Ucinf,59.2495962183119,56.3658913793278
chi2,25231.121273651,2236.90768277236
good_of_fit,0,0
