Parameters,kn62,methyleneblue
EC50,0.00648120014885381,2.30024406883832
H,9.99999999999986,3.79391416093037
Ucinf,66.6586167223404,0
chi2,35936.0279330447,5329.04484967351
good_of_fit,0,0
