Parameters,miconazole,artesunate
EC50,0.00328115596811241,2.62973169223961
H,4.18341738810719,3.63121331150623
Ucinf,1.04563427195637,10.2854800140733
chi2,1353.74292749981,1570.46093659093
good_of_fit,0,0
