Parameters,decoquinate,gramicidin
EC50,0.00025376711015215,0.00689134467709671
H,10,2.88681830189715
Ucinf,1.46991624897587,4.8096716489788
chi2,92.0954893843414,10.0393025314416
good_of_fit,0,0
