Parameters,methylrosanilinechloride,proguanil
EC50,0.133776786857331,0.075
H,1.84489326269363,3.64803943122494
Ucinf,0,13.7628299878795
chi2,41.2945417420571,15.4396690084386
good_of_fit,0,0
