Parameters,methyleneblue,artesunate
EC50,0.0167787514273875,0.0198626385147997
H,6.66716632588049,4.2087544458356
Ucinf,1.79282954651683,1.8941512655809
chi2,262.817435764398,95.9732521825585
good_of_fit,0,0
