Parameters,methyleneblue,artesunate
EC50,0.00701283041587432,0.00447745122569252
H,9.99999999999999,9.99999999999947
Ucinf,45.4270217444802,13.7454030530806
chi2,18328.6885793459,22543.7912756838
good_of_fit,0,0
