Parameters,piperaquine,methyleneblue
EC50,0.00506418475811421,0.00964819549277813
H,9.99999999999984,1.26622992821807
Ucinf,1.67940202837001,0
chi2,275.447575100001,7253.14440581606
good_of_fit,0,0
