Folder,TITLE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_WEIGHTED_SAN,SUM_SYN_ANT_WEIGHTED_LOEWE,SUM_SYN_ANT_WEIGHTED_BLISS,SUM_SYN_ANT_WEIGHTED_HSA,QA
alvespimycinhydrochloride_halofantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,halofantrine,0.025,0.375,0.00151857104409178,9.99999999999999,0.152403285018765,0.0367367435237432,4.28874505105094,0.726557554468132,0,-20.9868575708215,-3.37401403057878,-2.24733191103235,-3
alvespimycinhydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,lumefantrine,0.05,0.75,0.011687938521109,9.99999999999989,51.4525323812539,0.711176173354961,9.99999999999455,0,0,-144.633343871597,-146.28210231563,-145.268174044808,-1
alvespimycinhydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,lumefantrine,0.05,0.75,0.0150561047797965,3.58343119622405,1.70840554080848,0.134572669446061,4.06916170419331,1.49225180752789,0,-16.958221303498,-2.33861359241103,0.0145187696447975,1
alvespimycinhydrochloride_lumefantrine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,lumefantrine,0.05,0.75,0.0128079787380374,9.99999999999997,9.16722517593464,0.334680851234785,2.9644896993756,0,0,-28.751670916665,-16.5914846671401,-13.6858461834586,-1
alvespimycinhydrochloride_mefloquine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,mefloquine,0.25,0.75,0.122070491444764,9.99999999998921,36.5733541697838,0.0816377702149654,9.99999999999999,17.3460304168354,0,-96.161880365636,-91.9775491054947,-89.6911821728826,-1
alvespimycinhydrochloride_mefloquine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,mefloquine,0.25,0.75,0.0426506101450684,2.49711202115214,0,0.154993834552883,2.75424031980004,0,0,-23.5309971428847,-9.10282839927836,-4.16459188603477,1
alvespimycinhydrochloride_mefloquine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,mefloquine,0.25,0.75,0.0306629906760345,4.12602399119162,8.98564303302924,0.204435461267623,3.0981415238095,0,0,-24.2140000955994,-15.1115774004548,-9.28350749106722,-1
alvespimycinhydrochloride_nvpbgt226_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,nvpbgt226,0.01,0.75,0.00572381750818148,9.99999999999488,55.6998122825057,0.587102571165954,9.99999999999999,0,0,-181.321511546467,-183.73209024848,-183.511612194319,-1
alvespimycinhydrochloride_nvpbgt226_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,nvpbgt226,0.01,0.75,0.00204230328301872,5.57492927154057,15.6881715171183,0.162985719587011,3.32444132148571,0.478509393799409,0,-11.1923340484328,-0.0744287139379436,3.01883013901752,1
alvespimycinhydrochloride_nvpbgt226_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,nvpbgt226,0.01,0.75,0.00152854743628122,5.63689386090405,5.65695304066313,0.339128359986277,10,0,0,-89.3198724399891,-71.0913599371242,-70.4459321904051,-1
alvespimycinhydrochloride_reserpine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,reserpine,7.5,0.75,3.05178551119525,9.9999999999995,85.549162663779,0.439706618909885,9.99999999999999,0,0,-4534.47679977989,-4555.91490375762,-4554.71880381536,-1
alvespimycinhydrochloride_reserpine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,reserpine,7.5,0.75,2.3210544098754,5.24768953216167,0,0.18686587171551,3.31328179356812,0,0,-16.4996934929959,-1.80159100931758,0.500689281950256,1
alvespimycinhydrochloride_reserpine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,reserpine,7.5,0.75,0.973853269825244,9.99999999999997,8.90306966684811,0.227234927872528,3.40660024227903,0,0,-78.1023744743653,-55.9723589336651,-51.728193017397,-1
alvespimycinhydrochloride_tafenoquine_PLASMODIUM_FALCIPARUM_3D7,TestData,alvespimycinhydrochloride,tafenoquine,0.75,0.75,0.683347132702208,9.99999999999999,0,0.129579001773502,3.04936127807617,0.194421498147979,0,-24.416577385583,-10.1625583170386,-8.87520118113283,-1
alvespimycinhydrochloride_tafenoquine_PLASMODIUM_FALCIPARUM_DD2,TestData,alvespimycinhydrochloride,tafenoquine,0.75,0.75,0.187842597249038,2.95711395309486,9.91862460528748,0.162117702488961,4.47975358611866,1.9734696058118,0,-27.7698543797991,-12.2264877638658,-9.85737544644418,1
alvespimycinhydrochloride_tafenoquine_PLASMODIUM_FALCIPARUM_HB3,TestData,alvespimycinhydrochloride,tafenoquine,0.75,0.75,0.192859463802953,5.0810067437608,32.2996071119679,0.23196895290837,2.93146725181624,0,0,-49.744479512408,-40.0023187467273,-36.6947414391972,-1
amiodaronehydrochloride_ml238_PLASMODIUM_FALCIPARUM_3D7,TestData,amiodaronehydrochloride,ml238,0.05,10,0.00916553134163141,10,62.0496598165517,4.09501257380156,2.84806293726254,49.0025442683305,0,94.4341501315932,91.3933565491735,99.528404576114,-1
amiodaronehydrochloride_ml238_PLASMODIUM_FALCIPARUM_DD2,TestData,amiodaronehydrochloride,ml238,0.05,10,0.0167641376104401,2.02699397408111,16.3394121944927,6.67926068421337,9.99999999999923,21.0234671914068,0,-4.91168866746993,3.1955097791485,4.68160782420503,1
amiodaronehydrochloride_ml238_PLASMODIUM_FALCIPARUM_HB3,TestData,amiodaronehydrochloride,ml238,0.05,10,0.00561082274762297,1.76676289716567,20.5088022601857,8.03737431666666,2.99813953150141,0,0,21.4249527016469,25.374932297496,30.9877819010053,1
