Parameters,trichostatina,nitd609
EC50,0.00141759635486218,0.0502992344007188
H,6.02966014309257,2.4852862630559
Ucinf,0,2.37013892965089
chi2,149.235365010089,39.4971285837477
good_of_fit,0,0
