Parameters,mefloquine,lumefantrine
EC50,0.0142684716049085,0.0251644527284471
H,3.34484841239061,2.12189167421329
Ucinf,0.293259570941085,0
chi2,58.2693121014601,169.19029070201
good_of_fit,0,0
