Parameters,trichostatina,decoquinate
EC50,0.00542194334913785,0.0545120462534085
H,2.21498703236333,2.60179902976466
Ucinf,3.93885094070405,1.31261910674925
chi2,10.3967603440182,57.2574486407443
good_of_fit,0,0
