Parameters,pkc412,tafenoquine
EC50,0.0202554784670814,0.427915039097768
H,1.25081174944847,3.39797050315442
Ucinf,2.01872376461067,0.473966998768277
chi2,140.746859404603,612.880250526743
good_of_fit,0,0
