Parameters,genz668764,gramicidin
EC50,0.000133563923881256,0.155792659608858
H,10,5.64772065466284
Ucinf,25.1931656823928,8.14592999797644
chi2,4143.57054094697,671.414694866378
good_of_fit,0,0
