Parameters,reserpine,artesunate
EC50,0.0133930554035787,1.22303626610413
H,9.99999999999979,3.45085777453435
Ucinf,45.0306620233058,2.61626674203798
chi2,34842.7338626141,29040.4011554724
good_of_fit,0,0
