Parameters,lomerizinedihydrochloride,artesunate
EC50,0.0173295371936188,10
H,7.30027045678625,9.99999999999916
Ucinf,2.22760383785153,55.9752337633052
chi2,48.5031504055204,162.085030365865
good_of_fit,0,0
