Parameters,clobetasonebutyrate,decoquinate
EC50,0.0027534038036163,1.83332989731333
H,1.3795055553952,1.9857712173203
Ucinf,2.45298138026523,4.47139014203606
chi2,742.896004357209,723.108584078674
good_of_fit,0,0
