Parameters,manidipinedihydrochloride,methyleneblue
EC50,0.00544386520599773,2.11452150515548
H,4.49351418572736,1.85975566205992
Ucinf,0,0
chi2,383.869644631661,4319.71118391359
good_of_fit,0,0
