Parameters,propafenonehydrochloride,artesunate
EC50,0.0174605024276226,2.19934843185694
H,5.56161038224043,2.3469167486182
Ucinf,1.93381131491269,0
chi2,23.8853129873899,125.849290752088
good_of_fit,0,0
