Parameters,methyleneblue,artenimol
EC50,0.00272218945185441,0.0183377283545281
H,3.45358511963965,3.08503260765993
Ucinf,0.893192590695097,0
chi2,78.7916498940132,42.0041375727088
good_of_fit,0,0
