Parameters,nicardipine,artenimol
EC50,0.00145357577929064,6.55928579987496
H,7.99942170172485,2.39747687204561
Ucinf,1.06699898569688,0
chi2,75.8429966031155,364.674531096802
good_of_fit,0,0
