Parameters,cycloheximide,artenimol
EC50,0.00120600434578988,0.299762163710105
H,2.00796630703162,1.51855126272359
Ucinf,1.86829832982721,0
chi2,1413.86858258603,506.066263442575
good_of_fit,0,0
