Parameters,bix01294,amodiaquine
EC50,0.00935410096910683,0.0175254488947679
H,9.99999999999958,10
Ucinf,0.376261376143877,0.449085754828743
chi2,158.79087808889,63.8685691115172
good_of_fit,0,0
