Parameters,bix01294,halofantrine
EC50,0.000599239998020355,0.0165600754659663
H,2.59959875547292,4.900298468764
Ucinf,1.15633153473581,0.111135220940223
chi2,98.2229131045973,53.8073518312158
good_of_fit,0,0
