Parameters,decoquinate,nitd609
EC50,0.000557084876795105,0.00383662694601304
H,5.12479956412169,2.04995995813057
Ucinf,1.02265343539047,2.77975637004255
chi2,277.986157404155,245.160633467016
good_of_fit,0,0
