Parameters,mefloquine,halofantrine
EC50,0.000691757851910223,0.00954966857028752
H,2.81334040617209,2.13441243937337
Ucinf,0,0.386903452506071
chi2,58.5160813895552,36.2898298439877
good_of_fit,0,0
