Parameters,gramicidin,artenimol
EC50,0.000518947525324353,2.77268597680117e-05
H,3.32301465728426,3.33820503512764
Ucinf,1.53136731286256,1.63756977825524
chi2,136.524938868764,34.2842663420037
good_of_fit,0,0
