Parameters,halofantrine,artemether
EC50,0.00517057892754479,0.00207161468352066
H,5.71115634208681,5.30316545954431
Ucinf,0.0973779225162397,0.611403442088787
chi2,45.256617589265,391.413916419614
good_of_fit,0,0
