Parameters,calhex231,artenimol
EC50,0.00737441276393452,0.125970035915951
H,3.06618172619437,9.99999999999994
Ucinf,18.8353967380284,74.3669409220377
chi2,16976.9668468649,1581.42653079269
good_of_fit,0,0
