Parameters,chloroquine,lumefantrine
EC50,0.0133937228503779,0.278931048797256
H,2.60301611668186,6.20972882408888
Ucinf,0,1.72983363610609
chi2,232.726803029589,61.1593937110973
good_of_fit,0,0
