Parameters,nanchangmycin,halofantrine
EC50,0.000707537245256721,0.000930366360226946
H,2.37892068197616,2.50958582839363
Ucinf,0,0.135367765929717
chi2,815.862106681343,129.169551048582
good_of_fit,0,0
