Parameters,bix01294,kn62
EC50,1.00961233282621,0.0341477948444663
H,5.58138719097403,9.99999999999983
Ucinf,13.3816701969927,24.7642186892257
chi2,4482.33788467633,17522.1500798353
good_of_fit,0,0
