Parameters,mefloquine,atovaquone
EC50,0.000741918011717677,0.0141878348864837
H,9.99999999999998,9.99999999999993
Ucinf,35.7175657573999,5.03354494247547
chi2,10300.6126169694,4993.3791868479
good_of_fit,0,0
