Parameters,nvpbgt226,artenimol
EC50,0.00298551731193903,0.00115546999464778
H,9.99999999999998,9.99999999999999
Ucinf,32.6117429271238,25.7167526671044
chi2,15192.1363336146,10322.2832519096
good_of_fit,0,0
