Parameters,quisinostathydrochloride,artemether
EC50,0.0467758573404313,0.010076436156704
H,9.99999999999999,10
Ucinf,0,11.4753067520062
chi2,23397.3481317732,30274.2379056418
good_of_fit,0,0
