Parameters,nvpbgt226,methyleneblue
EC50,0.0075176041647869,0.00232648698487666
H,9.99999999999995,9.99999999999381
Ucinf,69.5168103040739,0
chi2,23935.212810729,8095569884.26403
good_of_fit,0,0
