Parameters,proguanil,artemether
EC50,0.00609698326342531,0.0573769475171544
H,9.99999999999999,1.77244401360291
Ucinf,46.2662314157948,0
chi2,20950.8255833991,17826.2555426954
good_of_fit,0,0
