Parameters,piperaquine,artesunate
EC50,0.0135268034535689,0.0543628596280855
H,9.99999999999992,4.79295046943611
Ucinf,5.70426912790744,1.81282697330077
chi2,4303.00779144135,1127.83115857889
good_of_fit,0,0
