Parameters,cycloheximide,methyleneblue
EC50,0.0120654653235503,0.289718644195969
H,4.04482023223749,1.49906412343778
Ucinf,1.77629377357578,0
chi2,88.4046079015789,229.968437315556
good_of_fit,0,0
