Parameters,pyronaridine,chloroquine
EC50,0.327833289057227,0.032138505864817
H,9.99999999999991,10
Ucinf,3.56472155669347,0.320135916428926
chi2,234.06673365139,362.64467052125
good_of_fit,0,0
