Parameters,bix01294,mefloquine
EC50,0.0319948500897724,0.0765367133663267
H,2.57639774341536,7.68163901638203
Ucinf,0,1.81596288473747
chi2,169.926643590744,53.9602745139293
good_of_fit,0,0
