Parameters,halofantrine,artenimol
EC50,0.00061519299236063,0.000411344191613082
H,3.695611027935,2.05940195085089
Ucinf,1.52563204869285,0
chi2,136.932735415039,699.121504673012
good_of_fit,0,0
