Parameters,ml238,atovaquone
EC50,0.00336521470936789,0.0103470601176037
H,2.8593297092209,9.99999999999994
Ucinf,30.6869169611945,27.2830592904995
chi2,27267.3346189514,9770.02595389006
good_of_fit,0,0
