Parameters,amiodaronehydrochloride,ml238
EC50,0.00561082274762297,8.03737431666666
H,1.76676289716567,2.99813953150141
Ucinf,20.5088022601857,0
chi2,414.773451261946,496.365813798854
good_of_fit,0,0
