Parameters,monensinsodiumsalt,artenimol
EC50,0.00458347327811433,0.00258010042949096
H,5.45141374695623,9.99999999999999
Ucinf,14.1605279413436,10.0217564973236
chi2,9878.17374681108,2577.94385130039
good_of_fit,0,0
