Parameters,monensinsodiumsalt,nvpbgt226
EC50,0.0024567341872311,0.00307695052442651
H,9.99999999999997,9.99999999999924
Ucinf,71.7952093568998,0
chi2,42888.6862042309,6285.7662702939
good_of_fit,0,0
