Parameters,amodiaquine,methyleneblue
EC50,0.0156111156965946,0.110919088818529
H,5.61881760862745,10
Ucinf,8.80291689963435,2.13337052703292
chi2,2543.85874141586,1142.83480704376
good_of_fit,0,0
