Parameters,kn62,methyleneblue
EC50,0.0218965236187564,1.77758945709848
H,4.9484456427731,1.54418472482306
Ucinf,1.49832103453336,0
chi2,39.3734411242868,359.173249354016
good_of_fit,0,0
